indicator_id,indicator_name,wb_code,year,value,source_url
govt_expenditure_pct_gdp,Government Expenditure (% of GDP),GC.XPN.TOTL.GD.ZS,2019,,https://api.worldbank.org/v2/country/KE/indicator/GC.XPN.TOTL.GD.ZS
govt_expenditure_pct_gdp,Government Expenditure (% of GDP),GC.XPN.TOTL.GD.ZS,2020,,https://api.worldbank.org/v2/country/KE/indicator/GC.XPN.TOTL.GD.ZS
govt_expenditure_pct_gdp,Government Expenditure (% of GDP),GC.XPN.TOTL.GD.ZS,2021,,https://api.worldbank.org/v2/country/KE/indicator/GC.XPN.TOTL.GD.ZS
govt_expenditure_pct_gdp,Government Expenditure (% of GDP),GC.XPN.TOTL.GD.ZS,2022,,https://api.worldbank.org/v2/country/KE/indicator/GC.XPN.TOTL.GD.ZS
govt_expenditure_pct_gdp,Government Expenditure (% of GDP),GC.XPN.TOTL.GD.ZS,2023,,https://api.worldbank.org/v2/country/KE/indicator/GC.XPN.TOTL.GD.ZS
govt_expenditure_pct_gdp,Government Expenditure (% of GDP),GC.XPN.TOTL.GD.ZS,2024,,https://api.worldbank.org/v2/country/KE/indicator/GC.XPN.TOTL.GD.ZS
debt_total,"Central Government Debt, Total (LCU)",GC.DOD.TOTL.CN,2013,,https://api.worldbank.org/v2/country/KE/indicator/GC.DOD.TOTL.CN
debt_total,"Central Government Debt, Total (LCU)",GC.DOD.TOTL.CN,2014,,https://api.worldbank.org/v2/country/KE/indicator/GC.DOD.TOTL.CN
debt_total,"Central Government Debt, Total (LCU)",GC.DOD.TOTL.CN,2015,,https://api.worldbank.org/v2/country/KE/indicator/GC.DOD.TOTL.CN
debt_total,"Central Government Debt, Total (LCU)",GC.DOD.TOTL.CN,2016,,https://api.worldbank.org/v2/country/KE/indicator/GC.DOD.TOTL.CN
debt_total,"Central Government Debt, Total (LCU)",GC.DOD.TOTL.CN,2017,,https://api.worldbank.org/v2/country/KE/indicator/GC.DOD.TOTL.CN
debt_total,"Central Government Debt, Total (LCU)",GC.DOD.TOTL.CN,2018,,https://api.worldbank.org/v2/country/KE/indicator/GC.DOD.TOTL.CN
debt_total,"Central Government Debt, Total (LCU)",GC.DOD.TOTL.CN,2019,,https://api.worldbank.org/v2/country/KE/indicator/GC.DOD.TOTL.CN
debt_total,"Central Government Debt, Total (LCU)",GC.DOD.TOTL.CN,2020,,https://api.worldbank.org/v2/country/KE/indicator/GC.DOD.TOTL.CN
debt_total,"Central Government Debt, Total (LCU)",GC.DOD.TOTL.CN,2021,,https://api.worldbank.org/v2/country/KE/indicator/GC.DOD.TOTL.CN
debt_total,"Central Government Debt, Total (LCU)",GC.DOD.TOTL.CN,2022,,https://api.worldbank.org/v2/country/KE/indicator/GC.DOD.TOTL.CN
debt_total,"Central Government Debt, Total (LCU)",GC.DOD.TOTL.CN,2023,,https://api.worldbank.org/v2/country/KE/indicator/GC.DOD.TOTL.CN
debt_total,"Central Government Debt, Total (LCU)",GC.DOD.TOTL.CN,2024,,https://api.worldbank.org/v2/country/KE/indicator/GC.DOD.TOTL.CN
