fiscal_year,county_code,county_name,ind_skilled_birth_attendance_norm,ind_primary_completion_norm,ind_pupil_teacher_ratio_norm,ind_poverty_headcount_norm,service_delivery_score,components_available
2015/16,18,Nyandarua,,,,,,4
2016/17,18,Nyandarua,,,,,,4
2017/18,18,Nyandarua,,,,,,4
2018/19,18,Nyandarua,,,,,,4
2019/20,18,Nyandarua,,,,,,4
2020/21,18,Nyandarua,,,,,,4
2021/22,18,Nyandarua,,,,,,4
2022/23,18,Nyandarua,,,,,,4
2023/24,18,Nyandarua,,,,,,4
2013/14,19,Nyeri,94.49877750611248,97.18670076726342,96.49122807017544,92.74755927475593,95.2,4
2014/15,19,Nyeri,,,,,,4
2015/16,19,Nyeri,,,,,,4
2016/17,19,Nyeri,,,,,,4
2017/18,19,Nyeri,,,,,,4
2018/19,19,Nyeri,,,,,,4
2019/20,19,Nyeri,,,,,,4
2020/21,19,Nyeri,,,,,,4
2021/22,19,Nyeri,100.0,99.74424552429667,100.0,98.74476987447699,99.6,4
2022/23,19,Nyeri,,,,,,4
2023/24,19,Nyeri,,,,,,4
2013/14,20,Kirinyaga,,,,,,4
2014/15,20,Kirinyaga,,,,,,4
2015/16,20,Kirinyaga,,,,,,4
2016/17,20,Kirinyaga,,,,,,4
2017/18,20,Kirinyaga,,,,,,4
2018/19,20,Kirinyaga,,,,,,4
2019/20,20,Kirinyaga,,,,,,4
2020/21,20,Kirinyaga,,,,,,4
2021/22,20,Kirinyaga,,,,,,4
2022/23,20,Kirinyaga,,,,,,4
2023/24,20,Kirinyaga,,,,,,4
2013/14,21,Murang'a,,,,,,4
2014/15,21,Murang'a,,,,,,4
2015/16,21,Murang'a,,,,,,4
2016/17,21,Murang'a,,,,,,4
2017/18,21,Murang'a,,,,,,4
2018/19,21,Murang'a,,,,,,4
2019/20,21,Murang'a,,,,,,4
2020/21,21,Murang'a,,,,,,4
2021/22,21,Murang'a,,,,,,4
2022/23,21,Murang'a,,,,,,4
2023/24,21,Murang'a,,,,,,4
2013/14,22,Kiambu,90.2200488997555,95.9079283887468,91.2280701754386,85.91352859135286,90.8,4
2014/15,22,Kiambu,,,,,,4
2015/16,22,Kiambu,,,,,,4
2016/17,22,Kiambu,,,,,,4
2017/18,22,Kiambu,,,,,,4
2018/19,22,Kiambu,,,,,,4
2019/20,22,Kiambu,,,,,,4
2020/21,22,Kiambu,,,,,,4
